Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2018-11-01,233292800,13662900,13065000,33384200,566528000,99495000
2018-11-02,365314800,8796900,19009200,37680200,452960000,122634100
2018-11-05,264654800,6291500,10276400,27922100,379332000,65622500
2018-11-06,127531600,7270800,10825000,24340200,299012000,60085900
2018-11-07,133697600,8392100,12679600,37901700,483812000,102752100
2018-11-08,101450400,7638800,11662500,25644100,511352000,65584900
2018-11-09,137463200,14159200,10432200,32039200,413240000,98812600
2018-11-12,204542000,7498600,13279700,33621800,617116000,99673600
2018-11-13,187531600,9309000,13746100,35374600,644712000,98176600
2018-11-14,243204000,13950200,18361400,39495100,526580000,125335900
2018-11-15,185915200,8910600,19100000,38505200,840708000,135101400
2018-11-16,147713200,8577000,13798600,33502100,1963520000,126668000
2018-11-19,167701200,8508300,13987000,44773900,1697820000,103061700
2018-11-20,271300800,9075100,18936200,64052500,1692032000,136021300
2018-11-21,124496800,8834200,10619600,28130600,1025496000,75563700
2018-11-23,94496000,3726600,6488400,13823100,411968000,42807900
2018-11-26,179994000,4018600,13948300,32336200,814832000,79981400
2018-11-27,165549600,9671100,9238200,29124500,738060000,75502400
2018-11-28,184250000,13788800,13977300,46788500,804524000,127629600
2018-11-29,167080000,6479300,11144300,28123200,549172000,82346400
2018-11-30,158126000,8169600,18652700,33665600,729564000,98204200
2018-12-03,163210000,8469500,16034500,34732800,890804000,103176300
2018-12-04,165377200,7186100,23555900,45197000,812112000,177986000
2018-12-06,172393600,9267600,27213900,49107400,692308000,204185400
2018-12-07,169126400,10402900,19248600,45044900,681676000,161018900
2018-12-10,248104000,8117900,23636400,40801500,629472000,151445900
2018-12-11,189126800,6395400,16860700,42381900,671912000,121504400
2018-12-12,142510800,4136800,22621500,36183000,654136000,97976700
2018-12-13,127594400,4131800,17250900,31333400,471384000,96662700
2018-12-14,162814800,7501700,19879500,47043100,471820000,116961100
2018-12-17,177151600,8454900,25113500,56957300,662868000,165492300
2018-12-18,135366000,7542900,20837200,49319200,564372000,134515100
2018-12-19,196189200,13827500,28767900,68198200,745364000,214992800
2018-12-20,259092000,18615100,31825200,70334200,749588000,252053400
2018-12-21,382978400,13629800,41313900,111242100,863740000,255345600
2018-12-24,148676800,9736400,17009300,43935200,463840000,147311600
2018-12-26,234330000,14293500,22542900,51634800,695100000,218485400
2018-12-27,212468400,11874400,20304700,49498500,637044000,186267300
2018-12-28,169165600,6864700,17963300,38196300,628728000,153100200
